edge_id,node_a,node_b,similarity
471,221,225,1.000000
472,222,223,0.351648
473,222,224,0.027027
474,222,225,0.555556
475,223,224,0.620690
476,223,225,0.312500
477,224,225,0.415882
478,72,226,0.213783
479,72,227,1.000000
480,226,227,0.000000
481,72,228,0.000000
482,226,228,0.200000
483,227,228,0.500000
484,71,229,1.000000
485,71,230,0.000000
486,229,230,0.600000
487,71,231,0.312500
488,230,231,0.000000
489,229,231,1.000000
490,234,235,0.600000
491,234,236,0.666667
492,235,236,0.546667
493,234,237,0.666667
494,235,237,0.490196
495,236,237,0.776860
496,84,238,0.180451
497,84,239,0.233129
498,238,239,0.333333
499,84,240,0.286624
500,238,240,0.250000
501,84,241,0.335616
502,238,241,0.223684
503,84,242,0.412698
504,238,242,0.105263
505,84,243,0.340476
506,238,243,0.121951
507,84,244,0.249211
508,238,244,0.120000
509,84,245,0.383367
510,238,245,0.350649
511,84,246,0.470588
512,238,246,0.471545
513,239,240,0.487342
514,239,241,0.263158
515,239,242,0.208155
516,239,243,0.348449
517,239,244,0.413625
518,239,245,0.596154
519,239,246,0.365591
520,240,241,0.400888
521,240,242,0.363787
522,240,243,0.347664
523,240,244,0.400786
524,240,245,0.395683
525,240,246,0.279661
526,241,245,0.322404
527,241,246,0.281030
528,242,245,0.206452
529,242,246,0.222222
530,243,245,0.316456
531,243,246,0.179245
532,244,245,0.373134
533,244,246,0.324176
534,245,246,0.355828
535,241,242,0.579217
536,241,243,0.357556
537,241,244,0.328188
538,242,243,0.438863
539,242,244,0.377825
540,243,244,0.299337
541,20,64,0.206897
542,20,65,0.333333
543,20,247,0.148148
544,64,247,0.357143
545,20,248,0.193159
546,64,248,0.203297
547,20,249,0.428571
548,64,249,0.337671
549,20,250,0.275862
550,64,250,0.385523
551,20,251,1.000000
552,64,251,0.212418
553,20,252,1.000000
554,64,252,0.386735
555,65,250,0.334462
556,247,250,0.000000
557,248,250,0.198718
558,249,250,0.260086
559,250,251,0.357843
560,250,252,0.295125
561,65,247,0.740741
562,65,248,0.294479
563,65,249,0.347343
564,65,251,0.286802
565,65,252,0.331919
566,247,248,0.229730
567,247,249,0.529412
568,247,251,1.000000
569,247,252,0.187500
570,248,249,0.274336
571,248,251,0.527778
572,248,252,0.250000
573,249,251,0.470000
574,249,252,0.330097
575,251,252,0.399293
576,28,255,0.566434
577,29,255,0.262097
578,256,257,0.000000
579,256,258,1.000000
580,257,258,0.453901
581,256,259,1.000000
582,257,259,0.310345
583,258,259,0.340426
584,190,264,0.502762
585,190,265,0.274802
586,264,265,0.325758
587,190,266,0.330022
588,264,266,0.354037
589,190,267,0.479452
590,264,267,0.515152
591,190,268,0.309392
592,264,268,0.312500
593,265,266,0.465930
594,265,267,0.285714
595,265,268,0.411290
596,266,267,0.325203
597,266,268,0.231707
598,267,268,0.232877
599,16,269,0.235556
600,16,270,0.252595
601,269,270,0.559656
602,247,271,0.471989
603,247,272,0.553345
604,271,272,0.368592
605,247,273,0.495495
606,272,273,0.558962
607,271,273,0.428571
608,134,274,0.000000
609,134,275,0.181818
610,274,275,0.299492
611,134,276,0.464286
612,274,276,0.225806
613,134,277,0.369565
614,274,277,0.640212
615,134,278,0.419753
616,274,278,0.600000
617,134,279,0.533333
618,274,279,0.525316
619,275,276,0.100000
620,275,277,0.280412
621,275,278,0.434783
622,276,277,0.639344
623,276,278,0.400000
624,276,279,0.375000
625,277,278,0.483871
626,277,279,0.503125
627,278,279,0.388889
628,275,279,0.339450
629,280,281,0.428571
630,280,282,0.571429
631,281,282,0.529412
632,90,283,0.000000
633,90,284,1.000000
634,283,284,0.000000
635,90,285,0.281646
636,283,285,1.000000
637,284,285,0.000000
638,190,257,0.339483
639,190,286,0.314961
640,257,286,0.893617
641,190,287,0.533010
642,257,287,0.150000
643,190,288,0.529801
644,257,288,0.098039
645,286,287,0.142857
646,286,288,0.203704
647,287,288,0.373832
648,112,217,0.385224
649,112,291,0.000000
650,217,291,0.000000
651,112,290,1.000000
652,290,291,0.400000
653,217,290,1.000000
654,249,292,0.311384
655,250,292,0.400891
656,249,293,0.529412
657,250,293,0.388889
658,292,293,0.250000
659,2,294,0.333333
660,3,294,0.000000
661,2,295,0.380952
662,3,295,0.220000
663,2,297,0.218310
664,3,297,0.374101
665,294,295,0.636364
666,2,296,0.264706
667,294,296,0.000000
668,294,297,0.375000
669,295,296,0.166667
670,295,297,1.000000
671,296,297,0.000000
672,3,296,0.487179
673,124,298,0.375000
674,124,299,0.227273
675,298,299,0.266667
676,124,300,0.433333
677,298,300,0.620690
678,299,300,0.950000
679,303,304,0.274587
680,303,308,0.242424
681,304,308,0.282675
682,303,305,0.333333
683,305,308,0.400000
684,303,306,0.354071
685,306,308,0.177066
686,303,307,0.290598
687,307,308,0.514986
688,304,305,0.166667
689,304,306,0.329457
690,304,307,0.490654
691,305,306,0.111111
692,305,307,0.222222
693,306,307,0.310651
694,94,173,0.353015
695,94,311,0.463330
696,96,311,0.239905
697,173,311,0.375543
698,2,190,0.333333
699,2,222,0.375000
700,190,222,0.284866
701,2,258,1.000000
702,190,258,0.355372
703,2,264,0.000000
704,2,265,0.222222
705,2,288,0.000000
706,2,312,0.000000
707,190,312,0.335516
708,2,313,1.000000
709,190,313,0.130435
710,222,264,0.320513
711,222,265,0.234742
712,222,288,0.459459
713,222,312,0.274510
714,258,264,0.416667
715,258,265,0.410256
716,258,288,0.125000
717,258,312,0.485294
718,264,288,0.788462
719,264,312,0.302521
720,264,313,0.190476
721,265,288,0.292683
722,265,312,0.354911
723,265,313,0.389831
724,288,312,0.219780
725,288,313,0.000000
726,312,313,0.000000
727,222,258,0.325581
728,222,313,0.266667
729,258,313,1.000000
730,314,315,0.000000
731,314,316,1.000000
732,315,316,0.401408
733,314,317,0.250000
734,315,317,0.363636
735,314,318,1.000000
736,315,318,0.250000
737,316,317,0.303371
738,317,318,0.000000
739,316,318,0.444444
740,159,322,0.501502
741,164,322,0.235105
742,159,323,0.569620
743,164,323,0.493333
744,322,323,0.522222
745,325,326,0.240826
746,325,327,0.199811
747,326,327,0.204214
748,325,328,0.309633
749,327,328,0.291367
750,326,328,0.240050
751,329,330,0.363636
752,329,331,0.250000
753,330,331,0.117647
754,334,335,0.045455
755,334,336,0.346154
756,335,336,0.000000
757,337,338,0.088235
758,337,339,0.000000
759,338,339,0.500000
760,337,340,0.000000
761,338,340,1.000000
762,337,341,0.000000
763,338,341,1.000000
764,339,340,1.000000
765,339,341,1.000000
766,340,341,0.213115
767,269,346,0.250000
768,270,346,0.237519
769,269,344,0.481178
770,344,346,0.191489
771,269,345,0.352734
772,345,346,0.229358
773,270,344,0.501623
774,270,345,0.333333
775,344,345,0.585691
776,347,348,0.192308
777,347,351,0.000000
778,348,351,0.000000
779,347,349,1.000000
780,349,351,0.100000
781,347,350,1.000000
782,350,351,0.000000
783,348,349,1.000000
784,348,350,0.351351
785,349,350,1.000000
786,72,352,0.357143
787,72,353,0.611111
788,352,353,0.523585
789,68,354,0.277108
790,71,354,0.270833
791,68,357,0.196429
792,71,357,0.387755
793,68,358,0.086957
794,71,358,0.000000
795,68,355,0.333333
796,354,355,0.156250
797,68,356,0.297297
798,354,356,0.305916
799,354,357,0.396354
800,354,358,0.278213
801,68,359,0.497354
802,354,359,0.322581
803,355,357,0.475000
804,355,358,0.235294
805,356,357,0.409006
806,356,358,0.420863
807,357,358,0.273276
808,357,359,0.431373
809,358,359,0.333333
810,71,355,1.000000
811,71,356,0.583333
812,71,359,0.528642
813,355,356,0.428571
814,355,359,0.428571
815,356,359,0.423077
816,22,193,0.182432
817,22,360,1.000000
818,193,360,0.000000
819,22,361,0.000000
820,193,361,1.000000
821,22,362,0.000000
822,193,362,0.250000
823,360,361,0.000000
824,360,362,0.000000
825,361,362,0.650000
826,190,363,0.363636
827,190,364,0.379518
828,363,364,0.000000
829,211,365,0.625000
830,212,365,0.178571
831,211,366,0.500000
832,212,366,0.250000
833,365,366,0.222222
834,21,139,0.408747
835,21,140,0.386082
836,21,367,0.517241
837,139,367,0.312253
838,140,367,0.314286
839,368,369,0.423077
840,368,370,0.000000
841,369,370,0.368421
842,368,371,0.000000
843,369,371,0.288462
844,370,371,0.464789
845,368,372,1.000000
846,370,372,0.586207
847,368,373,1.000000
848,370,373,0.000000
849,371,372,0.468599
850,371,373,0.000000
851,369,372,0.396226
852,369,373,1.000000
853,372,373,1.000000
854,325,374,0.500000
855,325,375,0.205882
856,374,375,0.666667
857,376,377,0.439344
858,376,378,0.500000
859,377,378,0.270992
860,376,380,0.363636
861,377,380,0.193548
862,376,379,0.380165
863,378,379,0.333333
864,378,380,1.000000
865,379,380,0.350598
866,377,379,0.463054
867,381,382,0.373626
868,381,383,0.275862
869,382,383,0.463035
870,384,385,0.000000
871,384,386,0.260870
872,385,386,1.000000
873,384,387,0.153846
874,385,387,1.000000
875,384,388,0.142857
876,385,388,0.500000
877,386,387,0.285714
878,386,388,0.250000
879,387,388,0.600000
880,5,24,0.000000
881,5,26,0.000000
882,24,26,0.276119
883,5,389,0.855769
884,24,389,0.000000
885,26,389,0.000000
886,22,139,0.349546
887,20,390,0.000000
888,21,390,0.166667
889,20,391,0.171053
890,21,391,0.187793
891,23,140,0.385653
892,23,390,0.285714
893,23,391,0.212766
894,140,390,0.500000
895,140,391,0.337696
896,390,391,1.000000
897,392,393,1.000000
898,392,394,0.384615
899,393,394,0.000000
900,392,395,0.308511
901,393,395,0.000000
902,394,395,0.312500
903,57,354,0.326829
904,57,356,0.170213
905,57,396,0.379518
906,354,396,0.172093
907,57,397,0.250000
908,354,397,0.446509
909,57,398,0.360656
910,354,398,0.215686
911,57,399,0.472527
912,354,399,0.273810
913,356,396,0.111111
914,356,397,0.306897
915,356,398,0.000000
916,356,399,0.051724
917,396,397,0.242647
918,397,398,0.277778
919,397,399,0.170854
920,396,398,0.470588
921,396,399,0.347826
922,398,399,0.542857
923,5,235,0.355769
924,5,236,0.060440
925,32,400,0.256410
926,32,401,0.403509
927,400,401,0.055556
928,402,403,0.000000
929,402,404,0.000000
930,403,404,0.611111
931,170,193,0.090909
932,170,271,0.480641
933,193,271,0.625000
934,170,272,0.340366
935,193,272,0.272727
936,170,409,1.000000
937,193,409,0.285714
938,170,410,0.090909
939,193,410,0.396154
940,271,409,0.000000
941,271,410,0.500000
942,272,410,0.162162
943,409,410,0.150000
944,272,409,0.375000
945,12,173,0.302067
946,13,173,0.262680
947,12,363,0.285714
948,13,363,0.363636
949,12,411,0.212500
950,13,411,0.279070
951,12,412,0.555556
952,13,412,0.033333
953,95,363,0.714286
954,95,411,0.411765
955,95,412,0.000000
956,96,363,0.250000
957,96,411,0.205882
958,173,363,0.454545
959,173,411,0.333333
960,173,412,0.000000
961,363,411,1.000000
962,363,412,0.125000
963,411,412,0.115385
964,96,412,0.727273
965,12,324,0.324549
966,13,324,0.271102
967,12,419,0.000000
968,13,419,1.000000
969,12,420,0.437500
970,13,420,0.250000
971,324,419,1.000000
972,324,420,0.000000
973,419,420,0.147541
974,159,421,1.000000
975,159,422,0.666667
976,421,422,0.200000
977,166,275,0.531250
978,167,275,0.472727
979,166,277,0.382353
980,167,277,0.048780
981,166,279,0.200000
982,167,279,0.000000
983,166,423,0.000000
984,167,423,0.600000
985,166,424,0.000000
986,167,424,1.000000
987,166,425,0.257576
988,167,425,0.333333
989,275,423,0.445205
990,275,424,0.750000
991,275,425,0.421053
992,277,423,0.125828
993,277,424,0.272727
994,279,423,0.228758
995,279,424,0.357143
996,423,424,0.266667
997,423,425,0.400000
998,424,425,0.000000
999,277,425,0.571429
1000,279,425,0.533333
1001,426,427,0.472222
1002,426,428,0.222222
1003,427,428,0.298507
1004,426,429,0.256693
1005,427,429,0.516854
1006,428,429,0.666667
1007,33,430,0.000000
1008,33,431,0.285714
1009,430,431,0.000000
1010,33,432,0.200000
1011,430,432,0.000000
1012,33,433,0.351351
1013,430,433,0.000000
1014,33,434,0.000000
1015,430,434,1.000000
1016,431,434,0.000000
1017,432,434,0.000000
1018,433,434,0.000000
1019,431,432,0.307692
1020,431,433,1.000000
1021,432,433,1.000000
1022,57,136,0.294118
1023,59,136,0.142857
1024,59,398,0.000000
1025,57,435,0.433476
1026,59,435,0.119403
1027,89,136,0.000000
1028,89,398,0.000000
1029,89,435,0.327273
1030,136,398,0.333333
1031,136,435,1.000000
1032,57,436,0.198895
1033,136,436,0.000000
1034,398,435,0.454545
1035,398,436,0.000000
1036,435,436,0.000000
1037,59,89,0.341085
1038,59,436,0.786517
1039,89,436,0.267241
1040,439,440,0.302013
1041,439,441,0.490741
1042,440,441,0.340000
1043,439,442,0.380952
1044,440,442,0.000000
1045,439,443,0.184615
1046,440,443,0.076923
1047,439,444,0.204082
1048,440,444,0.166667
1049,439,445,0.315789
1050,440,445,0.375000
1051,441,442,0.444444
1052,441,443,0.277778
1053,441,444,0.217391
1054,441,445,0.157895
1055,442,443,0.506173
1056,442,444,0.358491
1057,442,445,0.663551
1058,443,444,0.746667
1059,443,445,0.464481
1060,444,445,0.405229
1061,326,446,0.389091
1062,327,446,0.356589
1063,52,447,0.000000
1064,52,448,0.245902
1065,447,448,1.000000
1066,449,450,0.400000
1067,449,451,0.425197
1068,450,451,0.000000
1069,132,452,0.283333
1070,132,453,0.609772
1071,452,453,0.213115
1072,132,454,0.372204
1073,452,454,0.205128
1074,453,454,0.301333
1075,455,456,0.378378
1076,455,457,0.480519
1077,456,457,0.212121
1078,1,458,0.252874
1079,1,459,0.130435
1080,458,459,0.393443
1081,460,461,0.223140
1082,460,462,0.340611
1083,461,462,0.125000
1084,460,463,0.600000
1085,461,463,0.440000
1086,462,463,0.354839
1087,464,465,0.764706
1088,464,466,0.604938
1089,465,466,0.383598
1090,464,467,0.444444
1091,465,467,0.330526
1092,466,467,0.449735
1093,468,469,0.210526
1094,468,470,0.875000
1095,469,470,0.454545
1096,16,344,0.260870
1097,16,345,0.215909
1098,16,473,0.179487
1099,344,473,0.223684
1100,16,474,0.258065
1101,344,474,0.433333
1102,16,475,1.000000
1103,344,475,0.000000
1104,345,473,0.418605
1105,345,474,0.350000
1106,345,475,0.000000
1107,473,474,0.288696
1108,474,475,0.000000
1109,473,475,0.333333
1110,93,481,0.000000
1111,93,482,0.550000
1112,481,482,0.136364
1113,93,483,0.500000
1114,481,483,1.000000
1115,482,483,0.666667
1116,137,276,0.407767
1117,137,484,0.500000
1118,276,484,0.235294
1119,137,485,1.000000
1120,276,485,0.250000
1121,137,486,0.500000
1122,276,486,1.000000
1123,484,485,0.000000
1124,484,486,0.550000
1125,485,486,0.000000
1126,266,488,0.250000
1127,266,489,0.481481
1128,488,489,0.272727
1129,266,490,0.800000
1130,488,490,0.326923
1131,266,491,0.230769
1132,488,491,0.243902
1133,266,492,0.526316
1134,488,492,0.392857
1135,266,493,0.312500
1136,488,493,0.550000
1137,489,492,0.381132
1138,489,493,0.211538
1139,490,492,0.253275
1140,490,493,0.412698
1141,491,492,0.022727
1142,491,493,0.466667
1143,492,493,0.353107
1144,489,490,0.362069
1145,489,491,0.250000
1146,490,491,0.541667
1147,22,140,0.415758
1148,20,494,0.385283
1149,22,494,0.412500
1150,139,494,0.371806
1151,140,494,0.350969
1152,497,498,0.000000
1153,497,499,0.000000
1154,498,499,1.000000
1155,500,501,0.287155
1156,500,502,0.331586
1157,501,502,0.394958
1158,500,503,0.000000
1159,501,503,1.000000
1160,502,503,1.000000
1161,265,455,0.435000
1162,268,455,0.733333
1163,265,504,0.486559
1164,268,504,0.458333
1165,265,429,0.311795
